distribution,c_e,l_r,l_e,service_level,b,seed_id,single_cost,DDI_cost,TBS_cost,DI_cost,random_seed1,random_seed2
binom,0.5,2,1,0.95,3.5,4.5,1352.6023549999995,1352.4289920833328,1854.5043281060603,1351.9451403499997,4261.0,4735.0
binom,0.5,2,1,0.975,3.5,4.5,1553.2257974999998,1555.2002076611104,2090.397785227273,1553.12010375,4509.7,4085.6
binom,0.5,2,1,0.99,3.5,4.5,1784.7945189999996,1785.8371452011106,2341.183903363636,1784.7833116749996,4307.0,3412.4
binom,0.5,3,1,0.95,4.5,4.5,1578.4989499999997,1559.9435593333333,2054.4573560606063,1575.8327539999998,3953.8,3775.5
binom,0.5,3,1,0.975,4.5,4.5,1817.5484750000003,1813.0720870711114,2340.1825988636365,1817.6748175,4378.3,3361.7
binom,0.5,3,1,0.99,4.5,4.5,2076.7290825,2076.4009755966663,2622.158360651515,2076.9529595,4605.0,3544.0
binom,0.5,3,2,0.95,4.5,4.5,1578.9329249999998,1582.8138098683332,2309.990681439394,1578.6099978,3992.9,3764.9
binom,0.5,3,2,0.975,4.5,4.5,1809.1652687500002,1811.5921439316667,2594.5222261742424,1809.1095472250004,4580.3,3067.9
binom,0.5,3,2,0.99,4.5,4.5,2068.350777,2069.4535684999996,2879.9658290303028,2068.3440130999998,4509.7,4085.6
binom,0.5,5,1,0.95,6.5,4.5,1956.9875374999997,1914.020201023333,3573.840730681819,1945.8088724999993,4307.0,3412.4
binom,0.5,5,1,0.975,6.5,4.5,2188.345124999999,2168.008910867776,3887.021115151515,2193.0138924999997,3953.8,3775.5
binom,0.5,5,1,0.99,6.5,4.5,2511.0051224999997,2505.007436772222,4259.350222303032,2516.218775,4378.3,3361.7
binom,0.5,5,2,0.95,6.5,4.5,1945.5802124999996,1922.4723290466663,2590.7731053030293,1933.0702619999997,4605.0,3544.0
binom,0.5,5,2,0.975,6.5,4.5,2195.8453437499998,2188.352740054999,2930.285167234847,2196.2050087499997,3992.9,3764.9
binom,0.5,5,2,0.99,6.5,4.5,2516.90292,2515.994421438333,3298.517958181817,2517.9570059999996,4580.3,3067.9
binom,0.5,5,3,0.95,6.5,4.5,1956.2078749999994,1955.2874810666658,2861.2234795454533,1953.8381094999993,4509.7,4085.6
binom,0.5,5,3,0.975,6.5,4.5,2195.74515625,2197.0105494022214,3188.300696401514,2196.07969,4307.0,3412.4
binom,0.5,5,3,0.99,6.5,4.5,2509.30217,2510.285387055555,3550.553409469696,2509.6453495,3953.8,3775.5
binom,0.5,10,1,0.95,11.5,4.5,2738.3347999999996,2592.3395200622226,10696.958096439394,2609.8654165,4378.3,3361.7
binom,0.5,10,1,0.975,11.5,4.5,2992.0830875,2931.378485784444,11177.635490909095,2954.9747947499995,4605.0,3544.0
binom,0.5,10,1,0.99,11.5,4.5,3418.0757,3399.8144206555553,11685.358844636368,3415.664292,3992.9,3764.9
binom,0.5,10,2,0.95,11.5,4.5,2738.5683,2629.88034893,7836.157450075749,2637.8813684999996,4580.3,3067.9
binom,0.5,10,2,0.975,11.5,4.5,2988.6710999999996,2943.2604956883324,8411.67898727272,2973.939627999999,4509.7,4085.6
binom,0.5,10,2,0.99,11.5,4.5,3417.781762499999,3405.5531054233325,8794.271137151507,3422.545358999999,4307.0,3412.4
binom,0.5,10,3,0.95,11.5,4.5,2748.5016750000004,2673.1843033111113,5496.861101969689,2708.3096375,3953.8,3775.5
binom,0.5,10,3,0.975,11.5,4.5,2965.3408624999997,2938.037176527777,5903.535469090897,2991.7911537499995,4378.3,3361.7
binom,0.5,10,3,0.99,11.5,4.5,3444.1211374999993,3437.1114552777776,6497.215947378781,3462.5652839999993,4605.0,3544.0
binom,1.0,2,1,0.95,4.0,4.5,1353.3580999999995,1358.4389079111102,1980.4083712121203,1353.0039390499994,3992.9,3764.9
binom,1.0,2,1,0.975,4.0,4.5,1549.6637624999998,1554.3241653066657,2217.7481412878783,1549.5962204999996,4580.3,3067.9
binom,1.0,2,1,0.99,4.0,4.5,1794.4404499999996,1796.538735093333,2485.090145151515,1794.435661,4509.7,4085.6
binom,1.0,3,1,0.95,5.0,4.5,1587.8546,1574.49452156,2190.1847787878787,1584.9820386,4307.0,3412.4
binom,1.0,3,1,0.975,5.0,4.5,1798.2292499999999,1795.4134260555554,2447.405067424243,1798.2131195000002,3953.8,3775.5
binom,1.0,3,1,0.99,5.0,4.5,2087.661902,2088.3453429733327,2765.9585116969697,2087.699103,4378.3,3361.7
binom,1.0,3,2,0.95,5.0,4.5,1581.0720999999999,1590.343700283333,2434.504682121212,1581.0157145999997,4605.0,3544.0
binom,1.0,3,2,0.975,5.0,4.5,1806.0816750000001,1811.03977826,2719.377149848485,1806.0443770000002,3992.9,3764.9
binom,1.0,3,2,0.99,5.0,4.5,2094.8491499999996,2096.9240194999993,3041.2547612727276,2094.8476239799998,4580.3,3067.9
binom,1.0,5,1,0.95,7.0,4.5,1967.3432599999992,1928.0268406466657,3706.995831212121,1965.5876949999995,4509.7,4085.6
binom,1.0,5,1,0.975,7.0,4.5,2200.9453399999998,2182.942345128888,4033.8545484848496,2208.5759325,4307.0,3412.4
binom,1.0,5,1,0.99,7.0,4.5,2511.332028,2505.7117139599995,4396.558066515153,2518.7770279999995,3953.8,3775.5
binom,1.0,5,2,0.95,7.0,4.5,1968.3893599999992,1951.7188390833326,2740.717383636362,1957.0233819999994,4378.3,3361.7
binom,1.0,5,2,0.975,7.0,4.5,2186.5383199999997,2180.3092155099985,3043.2646418181803,2184.2851774999995,4605.0,3544.0
binom,1.0,5,2,0.99,7.0,4.5,2512.1859839999997,2512.3833907633334,3420.813382666666,2512.7743829999995,3992.9,3764.9
binom,1.0,5,3,0.95,7.0,4.5,1963.0165799999995,1966.9841081377774,2982.848607878787,1959.056178,4580.3,3067.9
binom,1.0,5,3,0.975,7.0,4.5,2199.7256399999997,2203.594712208887,3318.5918121212103,2199.9528809999993,4509.7,4085.6
binom,1.0,5,3,0.99,7.0,4.5,2511.5741839999996,2513.605656124444,3681.587771999999,2511.6824985999997,4307.0,3412.4
binom,1.0,10,1,0.95,12.0,4.5,2763.51175,2607.10325294,10886.569666969697,2633.93387,3953.8,3775.5
binom,1.0,10,1,0.975,12.0,4.5,2972.3672049999996,2910.135298562221,11271.61058757576,2939.4605374999996,4378.3,3361.7
binom,1.0,10,1,0.99,12.0,4.5,3446.492466999999,3429.1381141688885,11895.361052636366,3446.903722,4605.0,3544.0
binom,1.0,10,2,0.95,12.0,4.5,2762.0378499999997,2650.772400683333,7833.417437272718,2695.5948,3992.9,3764.9
binom,1.0,10,2,0.975,12.0,4.5,2975.4816675,2931.1012699899993,8234.670146439385,2969.1518449999994,4580.3,3067.9
binom,1.0,10,2,0.99,12.0,4.5,3426.054694,3413.223140243333,8809.82022539393,3441.8604849999997,4509.7,4085.6
binom,1.0,10,3,0.95,12.0,4.5,2761.29995,2691.1062632666667,5510.935791212114,2739.477455,4307.0,3412.4
binom,1.0,10,3,0.975,12.0,4.5,3007.5526775,2981.483114497777,5877.448341439387,3029.9650274999995,3953.8,3775.5
binom,1.0,10,3,0.99,12.0,4.5,3386.0508199999995,3379.383617475555,6351.68712675757,3417.8614749999992,4378.3,3361.7
binom,2.0,2,1,0.95,5.0,4.5,1362.0990899999997,1378.6645538977773,2153.51848969697,1362.0023933999996,4605.0,3544.0
binom,2.0,2,1,0.975,5.0,4.5,1572.306255,1581.7561881977774,2415.0759510606067,1572.284001,3992.9,3764.9
binom,2.0,2,1,0.99,5.0,4.5,1797.1470479999996,1801.4100724111104,2666.6441532121216,1797.1446659999995,4580.3,3067.9
binom,2.0,3,1,0.95,6.0,4.5,1599.40245,1596.1272959666665,2360.793631818181,1597.3034619999999,4509.7,4085.6
