distribution,c_e,l_r,l_e,service_level,b,seed_id,single_cost,DDI_cost,TBS_cost,DI_cost,random_seed1,random_seed2
geom,0.5,2,1,0.95,3.5,4.5,631.088025,620.8938002622223,769.035718939394,627.503799,3009.3,3708.5
geom,0.5,2,1,0.975,3.5,4.5,774.6509374999998,770.999476303333,930.523748371212,773.2532624749998,3919.9,4784.7
geom,0.5,2,1,0.99,3.5,4.5,906.8032169999999,905.442320191111,1069.2970322727274,906.15219012,4977.3,4445.8
geom,0.5,3,1,0.95,4.5,4.5,699.8046849999997,684.455148362222,824.3042071969694,688.0049649999997,6164.9,5427.5
geom,0.5,3,1,0.975,4.5,4.5,847.7079662499997,840.2016435355551,994.8963157196965,843.6929342499996,4550.8,5621.3
geom,0.5,3,1,0.99,4.5,4.5,1065.8666515,1063.444823318889,1228.2412402424243,1064.55620235,5293.1,4545.2
geom,0.5,3,2,0.95,4.5,4.5,712.2578249999999,704.1663830766666,902.515287878788,708.2368224999999,4108.7,6569.3
geom,0.5,3,2,0.975,4.5,4.5,863.7797499999999,860.4628840183332,1083.1463067424243,862.4364247499998,3960.0,4079.9
geom,0.5,3,2,0.99,4.5,4.5,1057.9724214999999,1057.06395011,1295.8238479999998,1057.5690405,2403.6,5157.9
geom,0.5,5,1,0.95,6.5,4.5,877.4631374999992,848.1051554933325,1476.0279565151502,848.7737624999991,2207.6,4632.6
geom,0.5,5,1,0.975,6.5,4.5,1010.1402374999998,997.2002164355551,1653.760392954545,998.6006929999996,2691.1,5079.7
geom,0.5,5,1,0.99,6.5,4.5,1195.6561525,1190.476787682222,1864.6611676212117,1192.1577192399998,2240.7,4623.8
geom,0.5,5,2,0.95,6.5,4.5,872.3133374999994,851.9289916033327,1035.6304606060598,853.0647974999995,2403.6,5157.9
geom,0.5,5,2,0.975,6.5,4.5,1009.9008312499997,1000.929740468333,1214.1643943181814,1003.4544574999996,2207.6,4632.6
geom,0.5,5,2,0.99,6.5,4.5,1203.27697,1199.7949884516665,1431.0486594696968,1201.5594554999998,2691.1,5079.7
geom,0.5,5,3,0.95,6.5,4.5,867.3916249999991,856.3823670377769,1084.8284719696958,855.8833779999992,2240.7,4623.8
geom,0.5,5,3,0.975,6.5,4.5,1003.8692687499995,997.8212619199996,1271.789824242424,1000.1715915999994,2403.6,5157.9
geom,0.5,5,3,0.99,6.5,4.5,1202.2389524999999,1200.1942456977777,1504.9383564393936,1201.4340994999998,2207.6,4632.6
geom,0.5,10,1,0.95,11.5,4.5,1195.6509499999997,1083.8593420699995,3867.0958265151517,1080.2338768859995,2691.1,5079.7
geom,0.5,10,1,0.975,11.5,4.5,1318.033125,1272.921222252222,4105.374929166666,1276.4634149999997,2240.7,4623.8
geom,0.5,10,1,0.99,11.5,4.5,1548.0488250000003,1533.2588714355556,4503.663365075758,1536.096059,2403.6,5157.9
geom,0.5,10,2,0.95,11.5,4.5,1200.2222749999999,1117.063366083333,2909.7156731060604,1110.9371659999997,2207.6,4632.6
