distribution,c_e,l_r,l_e,service_level,b,seed_id,single_cost,DDI_cost,TBS_cost,DI_cost,random_seed1,random_seed2
norm,0.5,2,1,0.95,3.5,4.5,2649.4077451239964,2645.311601327856,3636.095592696616,2647.5658935274214,3534.1,5162.8
norm,0.5,2,1,0.975,3.5,4.5,3031.3189460866524,3035.3991983662404,4098.340749254812,3030.996476591986,4659.4,4371.0
norm,0.5,2,1,0.99,3.5,4.5,3534.8564558502876,3537.204641485052,4647.595738066411,3534.8337442419725,4918.4,4215.1
norm,0.5,3,1,0.95,4.5,4.5,3151.0475088596495,3113.6257579835415,4103.560058123684,3143.0178598678767,5555.6,4678.2
norm,0.5,3,1,0.975,4.5,4.5,3598.9466507664342,3588.781069451829,4659.148163026643,3598.424979643469,3921.8,5829.2
norm,0.5,3,1,0.99,4.5,4.5,4151.586050159594,4151.2689806562685,5244.173061998148,4151.7742732857105,5999.0,6289.7
norm,0.5,3,2,0.95,4.5,4.5,3130.2108181409994,3137.588049232439,4582.007012197728,3128.705695025891,5883.0,3360.2
norm,0.5,3,2,0.975,4.5,4.5,3570.8017323116424,3575.966189647786,5137.40214471043,3570.6627874864475,3522.0,5594.6
norm,0.5,3,2,0.99,4.5,4.5,4131.639018168733,4133.8612297223335,5754.782340263477,4131.6371591505285,4282.9,6873.4
norm,0.5,5,1,0.95,6.5,4.5,3900.122341918478,3804.2061940624108,7107.130851758106,3878.7653682094387,6178.6,4855.1
norm,0.5,5,1,0.975,6.5,4.5,4467.489692442927,4435.024790854875,7895.649197848031,4480.484601159514,6276.2,4970.5
norm,0.5,5,1,0.99,6.5,4.5,5042.742314001111,5029.211925959194,8544.010033223625,5049.276745843901,4781.5,5253.4
norm,0.5,5,2,0.95,6.5,4.5,3938.473165676448,3896.4795594887446,5253.142234871926,3915.649097030919,4318.4,4165.1
norm,0.5,5,2,0.975,6.5,4.5,4292.195384101737,4272.818323693622,5774.6585522850955,4285.401235711992,4356.3,3508.9
norm,0.5,5,2,0.99,6.5,4.5,5124.458853316374,5123.292516473658,6695.012114142764,5125.4001626253,5391.8,5850.0
norm,0.5,5,3,0.95,6.5,4.5,3899.8921601523202,3897.5426102290767,5777.648197053389,3890.1834017035144,4375.1,5285.1
norm,0.5,5,3,0.975,6.5,4.5,4278.992021996727,4281.240486500118,6235.763314496639,4277.705524200213,5386.0,5939.7
norm,0.5,5,3,0.99,6.5,4.5,4963.384332183055,4965.344459783844,7043.912573776144,4963.570713152376,5917.5,4118.8
norm,0.5,10,1,0.95,11.5,4.5,5503.577199264668,5208.291809576704,21392.604130723743,5248.445973744823,4515.6,5302.8
norm,0.5,10,1,0.975,11.5,4.5,6032.522898012081,5919.534408326028,22830.868005142114,5983.0944020337965,3067.5,6277.9
norm,0.5,10,1,0.99,11.5,4.5,6779.200039183456,6736.799206177768,23827.38435986858,6784.35024108484,6578.2,4189.5
norm,0.5,10,2,0.95,11.5,4.5,5484.479199651255,5267.887615655445,15680.682137990356,5285.061142254324,6547.0,6162.8
norm,0.5,10,2,0.975,11.5,4.5,5921.5021418144415,5819.751826700606,16178.41824055171,5857.467776475178,4809.8,5209.0
norm,0.5,10,2,0.99,11.5,4.5,6896.7773249841775,6870.222809499905,17464.284548207197,6895.387889447351,4719.5,4528.6
norm,0.5,10,3,0.95,11.5,4.5,5500.1199267732345,5347.877454433168,11015.987377343481,5339.1437779309545,4632.7,4396.4
norm,0.5,10,3,0.975,11.5,4.5,5852.623698667301,5780.328690906231,11673.536086667931,5823.820521845767,4684.3,4491.5
norm,0.5,10,3,0.99,11.5,4.5,6942.816586892497,6927.429326740634,13264.712744828872,6952.107923351878,5506.8,5576.2
norm,1.0,2,1,0.95,4.0,4.5,2701.251364849711,2711.128918417696,3956.1068634356843,2700.632311531389,3984.2,5485.5
norm,1.0,2,1,0.975,4.0,4.5,3051.1771248763794,3060.8014731007797,4381.142084563582,3051.0641526179093,5417.8,4516.9
norm,1.0,2,1,0.99,4.0,4.5,3564.236313774448,3569.043050915995,4943.089670177746,3564.2226978397084,6043.9,5056.8
norm,1.0,3,1,0.95,5.0,4.5,3146.37908784082,3116.5862061282287,4342.22916634252,3138.5195480228895,3243.4,6558.9
