distribution,c_e,l_r,l_e,service_level,seed_id,b,single_cost,DDI_cost,TBS_cost,DI_cost,random_seed1,random_seed2
binom,0.5,2,1,0.95,0,3.5,1335.1985,1332.8310964666666,1834.8717272727276,1334.651,2800,8121
binom,0.5,2,1,0.95,1,3.5,1336.2782999999968,1335.0932531999954,1832.0772810606022,1335.302549999997,9791,8874
binom,0.5,2,1,0.95,2,3.5,1395.6125,1397.7622129777776,1909.4125303030305,1395.27752,1034,5756
binom,0.5,2,1,0.95,3,3.5,1334.0185,1334.9563769222223,1831.6964242424242,1333.1965,4369,6295
binom,0.5,2,1,0.95,4,3.5,1401.8205,1402.8203112888891,1916.3504696969696,1401.38904,686,5979
binom,0.5,2,1,0.95,5,3.5,1330.598,1330.4811435333331,1824.5524696969699,1329.89816,8373,3157
binom,0.5,2,1,0.95,6,3.5,1404.1445,1404.9588563999998,1919.419151515152,1403.77298,81,3501
binom,0.5,2,1,0.95,7,3.5,1331.8405,1330.9880005333332,1825.1715454545454,1330.99,5002,1947
binom,0.5,2,1,0.95,8,3.5,1325.4915,1324.5740995111112,1825.3994545454545,1324.6023149999999,7660,3664
binom,0.5,2,1,0.95,9,3.5,1331.0207499999997,1329.8245699999995,1826.0922272727275,1330.3713384999999,2814,56
binom,0.5,2,1,0.975,0,3.5,1551.165,1553.559605,2090.3447272727276,1551.199875,5249,6708
binom,0.5,2,1,0.975,1,3.5,1550.606,1552.073970088889,2087.5177272727274,1550.4879799999999,1148,5979
binom,0.5,2,1,0.975,2,3.5,1554.3585,1556.5046548555554,2089.66646969697,1554.22992,8373,3157
binom,0.5,2,1,0.975,3,3.5,1636.8406875000005,1638.3601951000003,2185.1154753787882,1636.7736375000002,81,3501
binom,0.5,2,1,0.975,4,3.5,1479.7467874999984,1481.7152591999943,2003.2562102272711,1479.3888499999982,5002,1947
binom,0.5,2,1,0.975,5,3.5,1547.668,1549.8899818666666,2090.4061363636365,1547.5495,7660,3664
binom,0.5,2,1,0.975,6,3.5,1555.7435,1557.7601805555555,2090.142181818182,1555.6535,2814,56
binom,0.5,2,1,0.975,7,3.5,1551.165,1553.559605,2090.3447272727276,1551.199875,5249,6708
binom,0.5,2,1,0.975,8,3.5,1550.606,1552.073970088889,2087.5177272727274,1550.4879799999999,1148,5979
binom,0.5,2,1,0.975,9,3.5,1554.3585,1556.5046548555554,2089.66646969697,1554.22992,8373,3157
binom,0.5,2,1,0.99,0,3.5,1723.0007899999991,1724.1581936999978,2275.9903969696966,1722.9709249999992,81,3501
binom,0.5,2,1,0.99,1,3.5,1803.028,1804.1045042666667,2357.0146818181815,1803.0454,5002,1947
binom,0.5,2,1,0.99,2,3.5,1794.382,1795.4120281777778,2357.7816818181823,1794.376,7660,3664
binom,0.5,2,1,0.99,3,3.5,1804.441959999998,1805.4404208333317,2359.1856245454533,1804.421709999998,2814,56
binom,0.5,2,1,0.99,4,3.5,1800.8615499999994,1801.9232233333328,2357.4692318181824,1800.8645499999993,5249,6708
binom,0.5,2,1,0.99,5,3.5,1714.5365,1715.6673255555556,2266.461454545455,1714.4798,1148,5979
binom,0.5,2,1,0.99,6,3.5,1887.2836000000004,1887.9910300000004,2447.1492015151516,1887.2824067500003,8373,3157
binom,0.5,2,1,0.99,7,3.5,1723.0007899999991,1724.1581936999978,2275.9903969696966,1722.9709249999992,81,3501
binom,0.5,2,1,0.99,8,3.5,1803.028,1804.1045042666667,2357.0146818181815,1803.0454,5002,1947
binom,0.5,2,1,0.99,9,3.5,1794.382,1795.4120281777778,2357.7816818181823,1794.376,7660,3664
binom,0.5,3,1,0.95,0,4.5,1606.3002499999996,1588.9167736111108,2089.1840833333335,1602.6912499999996,2814,56
binom,0.5,3,1,0.95,1,4.5,1538.3655,1518.2978333333333,2002.889075757576,1534.909,5249,6708
binom,0.5,3,1,0.95,2,4.5,1602.5767499999995,1584.7270602888889,2085.538484848485,1602.9908499999997,1148,5979
binom,0.5,3,1,0.95,3,4.5,1539.5205,1518.5620147444445,2003.9088484848487,1535.7875,8373,3157
binom,0.5,3,1,0.95,4,4.5,1609.485,1594.6287647,2095.9736060606065,1608.1955,81,3501
binom,0.5,3,1,0.95,5,4.5,1605.4705,1588.0793909333333,2088.249409090909,1602.71034,5002,1947
binom,0.5,3,1,0.95,6,4.5,1536.0285,1514.282088488889,2001.218409090909,1530.452,7660,3664
binom,0.5,3,1,0.95,7,4.5,1606.3002499999996,1588.9167736111108,2089.1840833333335,1602.6912499999996,2814,56
binom,0.5,3,1,0.95,8,4.5,1538.3655,1518.2978333333333,2002.889075757576,1534.909,5249,6708
binom,0.5,3,1,0.95,9,4.5,1602.5767499999995,1584.7270602888889,2085.538484848485,1602.9908499999997,1148,5979
binom,0.5,3,1,0.975,0,4.5,1824.5385,1820.3761585777777,2347.7433484848484,1824.414,8373,3157
binom,0.5,3,1,0.975,1,4.5,1830.1910625000005,1826.3643067000003,2355.3965018939393,1830.3235625000004,81,3501
binom,0.5,3,1,0.975,2,4.5,1901.2965625000004,1899.556525566667,2434.8570757575762,1901.6507750000003,5002,1947
binom,0.5,3,1,0.975,3,4.5,1743.039,1736.0027752888886,2258.3024090909094,1742.016,7660,3664
binom,0.5,3,1,0.975,4,4.5,1827.8585,1823.5659566666666,2350.4506666666666,1827.2615,2814,56
binom,0.5,3,1,0.975,5,4.5,1746.8335,1739.6529966666667,2259.736909090909,1747.274,5249,6708
binom,0.5,3,1,0.975,6,4.5,1745.7015,1738.9051603999999,2257.3421515151517,1747.42,1148,5979
binom,0.5,3,1,0.975,7,4.5,1824.5385,1820.3761585777777,2347.7433484848484,1824.414,8373,3157
binom,0.5,3,1,0.975,8,4.5,1830.1910625000005,1826.3643067000003,2355.3965018939393,1830.3235625000004,81,3501
binom,0.5,3,1,0.975,9,4.5,1901.2965625000004,1899.556525566667,2434.8570757575762,1901.6507750000003,5002,1947
binom,0.5,3,1,0.99,0,4.5,1979.938554999999,1979.3803745999978,2522.168467424242,1979.9281999999992,7660,3664
binom,0.5,3,1,0.99,1,4.5,2237.1864000000005,2237.2905199999996,2790.751333333334,2237.1414000000004,2814,56
binom,0.5,3,1,0.99,2,4.5,1986.4994499999998,1986.0033199999998,2525.3790257575765,1987.0464499999998,5249,6708
binom,0.5,3,1,0.99,3,4.5,2062.4335,2061.9265769777776,2609.483818181818,2063.487,1148,5979
binom,0.5,3,1,0.99,4,4.5,2070.9084000000003,2070.622369288889,2612.1885818181822,2070.9164,8373,3157
binom,0.5,3,1,0.99,5,4.5,2074.3121149999993,2074.245322099998,2622.456144393939,2074.3089249999994,81,3501
binom,0.5,3,1,0.99,6,4.5,2152.388,2151.8670584,2700.857409090909,2152.58517,5002,1947
binom,0.5,3,1,0.99,7,4.5,1979.938554999999,1979.3803745999978,2522.168467424242,1979.9281999999992,7660,3664
binom,0.5,3,1,0.99,8,4.5,2237.1864000000005,2237.2905199999996,2790.751333333334,2237.1414000000004,2814,56
binom,0.5,3,1,0.99,9,4.5,1986.4994499999998,1986.0033199999998,2525.3790257575765,1987.0464499999998,5249,6708
binom,0.5,3,2,0.95,0,4.5,1602.5767499999995,1605.9232287999996,2343.359591666667,1602.2129539999999,1148,5979
binom,0.5,3,2,0.95,1,4.5,1539.5205,1543.82135235,2255.508287878788,1539.3295,8373,3157
binom,0.5,3,2,0.95,2,4.5,1609.485,1613.1048729000001,2351.0198333333333,1609.1945,81,3501
binom,0.5,3,2,0.95,3,4.5,1605.4705,1609.327832,2344.2294696969698,1605.1711800000003,5002,1947
binom,0.5,3,2,0.95,4,4.5,1536.0285,1539.6995256666667,2255.309606060606,1535.5825,7660,3664
binom,0.5,3,2,0.95,5,4.5,1606.3002499999996,1610.2721579166662,2345.31755530303,1605.94783,2814,56
binom,0.5,3,2,0.95,6,4.5,1538.3655,1543.1396750000001,2255.2747575757576,1537.92456,5249,6708
binom,0.5,3,2,0.95,7,4.5,1602.5767499999995,1605.9232287999996,2343.359591666667,1602.2129539999999,1148,5979
binom,0.5,3,2,0.95,8,4.5,1539.5205,1543.82135235,2255.508287878788,1539.3295,8373,3157
binom,0.5,3,2,0.95,9,4.5,1609.485,1613.1048729000001,2351.0198333333333,1609.1945,81,3501
binom,0.5,3,2,0.975,0,4.5,1901.2965625000004,1903.1763750000005,2701.762940530303,1901.3104898750005,5002,1947
binom,0.5,3,2,0.975,1,4.5,1743.039,1746.0633843333333,2521.8347727272726,1742.949,7660,3664
binom,0.5,3,2,0.975,2,4.5,1827.8585,1830.0524358333332,2613.908363636364,1827.731,2814,56
binom,0.5,3,2,0.975,3,4.5,1746.8335,1749.8670875000003,2521.6684242424244,1746.8203999999998,5249,6708
binom,0.5,3,2,0.975,4,4.5,1745.7015,1748.3094631333333,2520.167,1745.556,1148,5979
binom,0.5,3,2,0.975,5,4.5,1824.5385,1826.765,2611.186287878788,1824.6220300000002,8373,3157
binom,0.5,3,2,0.975,6,4.5,1830.1910625000005,1832.3954983500005,2617.1883958333333,1830.1160625000005,81,3501
binom,0.5,3,2,0.975,7,4.5,1901.2965625000004,1903.1763750000005,2701.762940530303,1901.3104898750005,5002,1947
binom,0.5,3,2,0.975,8,4.5,1743.039,1746.0633843333333,2521.8347727272726,1742.949,7660,3664
binom,0.5,3,2,0.975,9,4.5,1827.8585,1830.0524358333332,2613.908363636364,1827.731,2814,56
binom,0.5,3,2,0.99,0,4.5,1986.4994499999998,1987.9312299999997,2791.033540909091,1986.5025499999997,5249,6708
binom,0.5,3,2,0.99,1,4.5,2062.4335,2063.5345,2878.5246666666667,2062.4078250000002,1148,5979
binom,0.5,3,2,0.99,2,4.5,2070.9084000000003,2071.9273350000003,2877.1989062121206,2070.90816,8373,3157
binom,0.5,3,2,0.99,3,4.5,2074.3121149999993,2075.338544999998,2888.595336666666,2074.2881899999993,81,3501
binom,0.5,3,2,0.99,4,4.5,2152.388,2153.2325,2968.866803030303,2152.397,5002,1947
binom,0.5,3,2,0.99,5,4.5,1979.938554999999,1981.380689999998,2789.290392727272,1979.940939999999,7660,3664
binom,0.5,3,2,0.99,6,4.5,2237.1864000000005,2237.79782,3059.3915303030303,2237.176931,2814,56
binom,0.5,3,2,0.99,7,4.5,1986.4994499999998,1987.9312299999997,2791.033540909091,1986.5025499999997,5249,6708
binom,0.5,3,2,0.99,8,4.5,2062.4335,2063.5345,2878.5246666666667,2062.4078250000002,1148,5979
binom,0.5,3,2,0.99,9,4.5,2070.9084000000003,2071.9273350000003,2877.1989062121206,2070.90816,8373,3157
binom,0.5,5,1,0.95,0,6.5,1952.56,1906.6679177,3565.537954545456,1941.964,81,3501
binom,0.5,5,1,0.95,1,6.5,1999.302,1962.7193402666667,3659.551681818183,1998.2815,5002,1947
binom,0.5,5,1,0.95,2,6.5,1941.1652499999996,1895.133916022222,3548.075880303031,1915.2695249999995,7660,3664
binom,0.5,5,1,0.95,3,6.5,1898.5902499999995,1843.0384208333332,3470.0331590909095,1866.1672499999995,2814,56
binom,0.5,5,1,0.95,4,6.5,1939.1985,1897.2794083333333,3550.2386666666685,1941.4845,5249,6708
binom,0.5,5,1,0.95,5,6.5,2001.3987499999996,1966.3430035777778,3631.528886363637,2003.3902999999998,1148,5979
binom,0.5,5,1,0.95,6,6.5,1944.6333749999974,1904.4988295111075,3540.275561363633,1936.0166249999972,8373,3157
binom,0.5,5,1,0.95,7,6.5,1952.56,1906.6679177,3565.537954545456,1941.964,81,3501
