distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
binom,0.5,2,1,0.95,0,3.5,1424.4345,1459.2197222222223,1427.4260400000003,1487.72886,7941,3738
binom,0.5,2,1,0.95,1,3.5,1355.7985,1392.9639444444445,1360.5958600000001,1425.58414,8020,4327
binom,0.5,2,1,0.95,2,3.5,1433.386,1463.0805,1431.2682750000001,1497.254575,4856,8372
binom,0.5,2,1,0.95,3,3.5,1432.7985,1462.907277777778,1432.9245600000002,1482.43964,5836,1904
binom,0.5,2,1,0.95,4,3.5,1392.4045,1461.4093333333335,1428.72596,1477.63604,4141,8224
binom,0.5,2,1,0.95,5,3.5,1433.889,1463.08275,1432.0301749999999,1498.8925749999999,3822,3130
binom,0.5,2,1,0.95,6,3.5,1433.015,1464.401,1432.5634750000002,1483.2422749999998,6816,2038
binom,0.5,2,1,0.95,7,3.5,1437.055,1467.6573333333333,1436.4397600000002,1474.92774,4069,3701
binom,0.5,2,1,0.95,8,3.5,1356.5545,1392.1160833333336,1359.332175,1410.513575,505,1900
binom,0.5,2,1,0.95,9,3.5,1507.661,1535.744777777778,1505.5040600000002,1579.52852,2887,4420
binom,0.5,2,1,0.975,0,3.5,1558.2265,1619.0678727272725,1587.9630958750001,1671.1391858749998,5831,3129
binom,0.5,2,1,0.975,1,3.5,1600.1,1622.6383181818178,1595.00176,1677.00016,3410,2118
binom,0.5,2,1,0.975,2,3.5,1567.3615,1625.1633636363636,1595.2081400000002,1678.3431099999998,6616,8300
binom,0.5,2,1,0.975,3,3.5,1560.974,1620.1739545454545,1589.8613100000002,1692.5083250000002,3245,3614
binom,0.5,2,1,0.975,4,3.5,1562.0415,1620.9850454545453,1591.3288900000002,1677.5792600000002,498,6296
binom,0.5,2,1,0.975,5,3.5,1513.489629268296,1544.069777777778,1511.4494399999999,1587.87094,1736,173
binom,0.5,2,1,0.975,6,3.5,1477.0205,1539.3176363636362,1509.4734799999999,1579.44902,9986,6310
binom,0.5,2,1,0.975,7,3.5,1685.2345,1707.3654545454547,1676.7564700000003,1747.8884,3339,5169
binom,0.5,2,1,0.975,8,3.5,1517.6871499999986,1544.7043079545433,1513.054969999998,1618.2394599999982,760,5490
binom,0.5,2,1,0.975,9,3.5,1560.6855,1618.156819444444,1588.0044058750002,1682.526872,877,4867
binom,0.5,2,1,0.99,0,3.5,1818.428,1873.373707272727,1843.9199635999998,2022.064773,7186,122
binom,0.5,2,1,0.99,1,3.5,1556.8411849999993,1617.3306072727269,1588.7394899999993,1662.691489999999,7272,1567
binom,0.5,2,1,0.99,2,3.5,1643.9658249999993,1701.9229402020192,1672.1210699999992,1764.280459999999,6430,4612
binom,0.5,2,1,0.99,3,3.5,1651.9369949999993,1709.0600784343428,1678.585234999999,1783.541564999999,6851,8541
binom,0.5,2,1,0.99,4,3.5,1768.9029699999992,1788.7333283080798,1758.6226467999993,1881.917296949999,882,7876
binom,0.5,2,1,0.99,5,3.5,1814.9775499999994,1871.2578984848485,1841.91265,1983.6810499999997,5179,4925
binom,0.5,2,1,0.99,6,3.5,1731.464,1787.659272727273,1759.68834,1871.5289850000004,5523,1100
binom,0.5,2,1,0.99,7,3.5,1644.2445499999994,1702.071564090909,1673.4312885999998,1774.6219363500002,7313,7158
binom,0.5,2,1,0.99,8,3.5,1645.7255,1702.3378181818177,1675.1817200000003,1770.5239,2579,5062
binom,0.5,2,1,0.99,9,3.5,1817.5529299999992,1873.6863168181812,1842.780544999999,1983.3549849999993,7067,5126
binom,0.5,3,1,0.95,0,4.5,1601.815,1401.0592727272724,1410.1040600000001,1461.15714,9086,2460
binom,0.5,3,1,0.95,1,4.5,1554.8065,1403.9050303030303,1411.35834,1447.5496249999999,3067,4053
binom,0.5,3,1,0.95,2,4.5,1639.858,1474.1093181818183,1483.5820800000001,1535.3785750000002,8233,6325
binom,0.5,3,1,0.95,3,4.5,1602.7355,1402.813227272727,1411.7463799999998,1453.19402,2682,6379
binom,0.5,3,1,0.95,4,4.5,1679.5292499999996,1470.3087265151514,1479.8881334999999,1522.0665725000001,7070,1341
binom,0.5,3,1,0.95,5,4.5,1642.4675,1479.6119954545454,1487.3881675,1535.562999,8267,4824
binom,0.5,3,1,0.95,6,4.5,1554.858,1406.3666818181816,1414.3592,1449.1336000000001,9476,9324
binom,0.5,3,1,0.95,7,4.5,1687.129,1474.6613636363638,1481.308105,1541.4493499999999,3928,9374
binom,0.5,3,1,0.95,8,4.5,1611.714,1411.3869848484849,1418.0916999999997,1453.6065,7823,9355
binom,0.5,3,1,0.95,9,4.5,1690.6855,1475.6815454545456,1484.6839499999999,1543.90771,5075,3018
binom,0.5,3,1,0.975,0,4.5,1803.4625,1627.8681065656572,1636.01582875,1679.8052839545435,1431,951
binom,0.5,3,1,0.975,1,4.5,1724.2775,1552.2853703703704,1563.0587,1622.0505999999998,3141,7227
binom,0.5,3,1,0.975,2,4.5,1722.5185,1553.0047962962963,1562.7924,1613.1415,8172,6580
binom,0.5,3,1,0.975,3,4.5,1802.1805,1628.0549444444446,1638.7567,1705.1945,7156,338
binom,0.5,3,1,0.975,4,4.5,1942.637,1706.7186851851852,1719.968,1796.0485,5836,3166
binom,0.5,3,1,0.975,5,4.5,1830.9254094076673,1632.0648316498318,1639.00524,1707.60298,5348,8581
