distribution,c_e,l_r,l_e,service_level,seed_id,b,DI_fix_Sr_cost,random_seed1,random_seed2
geom,0.5,2,1,0.95,0,3.5,627.92766,9754,1804
geom,0.5,2,1,0.975,0,3.5,703.0227,4213,7708
geom,0.5,2,1,0.99,0,3.5,864.2594024999992,495,8614
geom,0.5,3,2,0.95,0,4.5,761.529,3561,4513
geom,0.5,3,2,0.975,0,4.5,836.92517,6109,4623
geom,0.5,3,2,0.99,0,4.5,1002.6293260999992,1098,6672
geom,1.0,2,1,0.95,0,4.0,632.0114,3465,7114
geom,1.0,2,1,0.975,0,4.0,710.4812259999984,8608,5548
geom,1.0,2,1,0.99,0,4.0,866.9677700000001,5698,4946
geom,1.0,3,2,0.95,0,5.0,698.57352,7350,7419
geom,1.0,3,2,0.975,0,5.0,842.3749699999998,3840,9292
geom,1.0,3,2,0.99,0,5.0,1002.0403455999993,1204,7281
geom,2.0,2,1,0.95,0,5.0,643.97802,3430,7463
geom,2.0,2,1,0.975,0,5.0,867.2059199999999,9949,4069
geom,2.0,2,1,0.99,0,5.0,951.2985600000003,3775,6315
geom,2.0,3,2,0.95,0,6.0,714.6755700000001,8686,4029
geom,2.0,3,2,0.975,0,6.0,850.1822199999999,101,6483
geom,2.0,3,2,0.99,0,6.0,1004.4734929999993,5182,8533
geom,3.0,2,1,0.95,0,6.0,655.1538,5718,9524
geom,3.0,2,1,0.975,0,6.0,794.835,5827,7131
geom,3.0,2,1,0.99,0,6.0,955.7772667999994,2481,9573
geom,3.0,3,2,0.95,0,7.0,733.4217199999999,6247,2808
geom,3.0,3,2,0.975,0,7.0,853.6041199999999,3159,7094
geom,3.0,3,2,0.99,0,7.0,1257.9559199999999,9612,4238
