distribution,c_e,l_r,l_e,service_level,seed_id,b,single_cost,DDI_cost,TBS_cost,DI_cost,random_seed1,random_seed2
geom,0.5,2,1,0.95,0,3.5,631.6455,621.924934888889,769.2220000000001,628.134,3654,1646
geom,0.5,2,1,0.95,1,3.5,631.36,621.3049352222222,768.0981136363638,627.8253400000001,1187,1114
geom,0.5,2,1,0.95,2,3.5,631.671,620.7350325555554,768.0942272727273,628.0863600000001,6827,4264
geom,0.5,2,1,0.95,3,3.5,631.7805,619.5842104666666,769.3635227272728,628.071,316,426
geom,0.5,2,1,0.95,4,3.5,630.1125,619.4083241777779,768.41375,626.5815,1115,9357
geom,0.5,2,1,0.95,5,3.5,631.76825,620.9463939999998,769.0227878787881,628.2312049999999,4740,8401
geom,0.5,2,1,0.95,6,3.5,631.287,623.1793672222223,769.9418863636365,627.5295,2468,1654
geom,0.5,2,1,0.95,7,3.5,629.617,619.6362765222223,769.4,625.9885,1012,1012
geom,0.5,2,1,0.95,8,3.5,630.372,620.552416,767.8405681818183,626.786085,4139,8645
geom,0.5,2,1,0.95,9,3.5,631.2665,621.6661115666667,770.9603333333332,627.8045,4635,566
geom,0.5,2,1,0.975,0,3.5,784.016,780.1732920000001,939.4785909090909,782.576,1035,1526
geom,0.5,2,1,0.975,1,3.5,862.477,859.5029905333333,1023.4109545454547,861.7613200000001,5925,4741
geom,0.5,2,1,0.975,2,3.5,780.8516874999998,777.6351942444444,937.4238181818183,779.5622109999999,7337,9019
geom,0.5,2,1,0.975,3,3.5,704.2815,697.3175966666666,854.3536666666665,702.1578599999999,3231,5727
geom,0.5,2,1,0.975,4,3.5,780.354,779.0372173999999,937.5616818181819,779.313,4541,5188
geom,0.5,2,1,0.975,5,3.5,781.5601874999998,779.0741773333332,940.6949999999998,780.4911937499999,1842,2253
geom,0.5,2,1,0.975,6,3.5,781.2605,779.3566417777778,935.328590909091,779.8325,4102,4567
geom,0.5,2,1,0.975,7,3.5,705.179,698.9859933999999,853.185,702.917,1566,9747
geom,0.5,2,1,0.975,8,3.5,781.5225,777.7328912777778,940.1970681818183,780.23514,7050,4988
geom,0.5,2,1,0.975,9,3.5,785.0069999999981,781.178768399998,943.6031124999979,783.686399999998,2570,91
geom,0.5,2,1,0.99,0,3.5,863.343,861.7424820000001,1024.424909090909,862.7149199999999,4280,6901
geom,0.5,2,1,0.99,1,3.5,864.0849699999993,861.9286708333327,1023.9753818181812,863.2038999999993,2142,7053
geom,0.5,2,1,0.99,2,3.5,947.8085,947.5684058444444,1112.6703181818182,947.3976199999998,2894,2943
geom,0.5,2,1,0.99,3,3.5,863.2175500000001,861.8653188,1023.7871818181819,862.4791597000001,7565,4973
geom,0.5,2,1,0.99,4,3.5,948.4805,948.4672256555555,1113.3747272727271,948.047,9170,3484
geom,0.5,2,1,0.99,5,3.5,867.523,865.5491869333333,1028.7167954545455,866.8440549999999,3017,2907
geom,0.5,2,1,0.99,6,3.5,1031.86965,1031.833933777778,1200.4681454545455,1031.5315215000003,5944,4742
geom,0.5,2,1,0.99,7,3.5,784.468,779.673377,940.3844545454546,783.055,2964,1629
geom,0.5,2,1,0.99,8,3.5,865.4905,864.4719125333332,1025.7243636363637,864.7918000000001,4950,2418
geom,0.5,2,1,0.99,9,3.5,1031.7465,1031.3226885333333,1199.4440454545454,1031.456925,6847,7408
geom,0.5,3,1,0.95,0,4.5,698.9575,682.9372813888888,821.2480757575757,686.984,2720,8282
geom,0.5,3,1,0.95,1,4.5,701.681,685.9536254333333,834.2432348484849,690.2855,6727,5292
geom,0.5,3,1,0.95,2,4.5,700.8978499999971,686.1719343333302,825.2378522727239,689.1136499999968,7514,9625
geom,0.5,3,1,0.95,3,4.5,704.766,689.8206650000001,828.5071666666665,692.3015,7320,1848
geom,0.5,3,1,0.95,4,4.5,700.019,687.5622085222222,824.5474999999999,688.615,1742,7706
geom,0.5,3,1,0.95,5,4.5,697.7325,681.5134424,821.3988181818183,686.421,4659,4021
geom,0.5,3,1,0.95,6,4.5,698.24,683.4349990222221,820.8308484848486,686.8185,6797,5758
geom,0.5,3,1,0.95,7,4.5,698.197,681.8867524333333,825.2593333333333,686.1015,7223,5693
geom,0.5,3,1,0.95,8,4.5,698.758,682.2235592000001,820.5984696969698,687.0325,7910,1569
geom,0.5,3,1,0.95,9,4.5,698.798,683.0470158888888,821.170772727273,686.3765,9037,4481
geom,0.5,3,1,0.975,0,4.5,840.3605,832.6672464666667,987.6240000000001,836.59104,9066,7787
geom,0.5,3,1,0.975,1,4.5,841.259,831.8705033111112,987.1406666666666,836.636,1966,4851
geom,0.5,3,1,0.975,2,4.5,842.0037374999982,833.3434446999983,988.6246329545437,836.1231999999981,9458,9849
geom,0.5,3,1,0.975,3,4.5,836.1013624999982,829.5834408333316,983.0623424242407,832.7567149999982,3818,5291
geom,0.5,3,1,0.975,4,4.5,840.979,832.5580107666666,987.989590909091,837.1445,4508,508
geom,0.5,3,1,0.975,5,4.5,839.6010624999998,832.5107742666667,989.1234999999999,835.6865874999997,1521,2606
geom,0.5,3,1,0.975,6,4.5,837.2135,832.6988918444445,984.0747272727273,834.0295,9484,9175
geom,0.5,3,1,0.975,7,4.5,840.548,832.139497,984.6291060606061,836.14404,3725,9534
geom,0.5,3,1,0.975,8,4.5,843.146,834.6694297888889,987.9329242424243,838.43976,589,1095
geom,0.5,3,1,0.975,9,4.5,915.8675,909.9751963777777,1068.7616666666665,913.378,1373,5517
geom,0.5,3,1,0.99,0,4.5,999.1679000000004,995.2469573111113,1155.5527378787879,997.70703425,5669,1869
geom,0.5,3,1,0.99,1,4.5,1082.5879499999999,1080.8639934,1250.6371696969697,1081.35845,7496,6719
geom,0.5,3,1,0.99,2,4.5,1162.6504499999999,1162.8428880555555,1329.3818787878788,1162.071905,6398,7292
geom,0.5,3,1,0.99,3,4.5,1002.811,1000.3793392,1159.8311666666666,1001.154,5836,4899
geom,0.5,3,1,0.99,4,4.5,1081.7735,1079.3510445555555,1243.7195454545454,1080.4073,9319,8823
geom,0.5,3,1,0.99,5,4.5,1164.9855,1163.5031233333334,1331.1252727272727,1164.19825,2826,4718
geom,0.5,3,1,0.99,6,4.5,1003.7498149999991,998.3039941111103,1162.709276666666,1001.4868099999991,5381,8480
geom,0.5,3,1,0.99,7,4.5,1078.47995,1077.5648826222225,1245.0006166666667,1077.82395,6237,200
geom,0.5,3,1,0.99,8,4.5,996.101,993.747216,1157.5078333333336,994.4605,2628,291
geom,0.5,3,1,0.99,9,4.5,1086.3594500000002,1082.6447946,1246.9469045454546,1084.89382425,1141,2161
geom,0.5,3,2,0.95,0,4.5,697.304,689.4808770833333,888.4111515151516,693.2775,4015,7434
geom,0.5,3,2,0.95,1,4.5,764.1065,758.4178456,968.9095681818184,761.3487499999999,968,8042
geom,0.5,3,2,0.95,2,4.5,696.802,690.9489032666667,885.2252272727275,693.324,6855,8598
geom,0.5,3,2,0.95,3,4.5,701.305,689.8919073999999,882.8124772727273,696.5592699999999,4799,3518
geom,0.5,3,2,0.95,4,4.5,762.055,755.2055164999999,973.5129696969698,759.6845,4916,4504
