distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
norm,0.5,2,1,0.95,0,3.5,2861.9397214469464,2931.94726757449,2868.6427362851464,2999.359130184143,1567,7095
norm,0.5,2,1,0.95,1,3.5,2835.2760483058364,2900.89667913122,2839.2723491843967,2953.0532584707457,8711,3614
norm,0.5,2,1,0.95,2,3.5,2818.2058080389174,2907.1136328661564,2843.236326582369,2954.3196958504664,9141,1430
norm,0.5,2,1,0.95,3,3.5,2953.3632469332856,3036.8958972741125,2976.7611848916385,3140.806632931702,5987,548
norm,0.5,2,1,0.95,4,3.5,2827.365704208054,2931.6325479252746,2866.766866892784,2993.8027031040538,3036,4429
norm,0.5,2,1,0.95,5,3.5,2708.8023429675463,2793.669438358129,2729.4140629712247,2862.102861856608,6927,7799
norm,0.5,2,1,0.95,6,3.5,2831.6034874529178,2899.800486571919,2835.867033491152,2951.075973999067,5838,205
norm,0.5,2,1,0.95,7,3.5,2821.182827700808,2882.249020984768,2817.4475708197465,2953.707634163917,9875,1837
norm,0.5,2,1,0.95,8,3.5,2857.528638924446,2915.557286987756,2854.051606489499,2981.8327620274777,1117,290
norm,0.5,2,1,0.95,9,3.5,2629.63683101877,2755.5433078836304,2685.96610367387,2761.9832260811345,2432,5513
norm,0.5,2,1,0.975,0,3.5,3284.9984555202423,3345.9491371572217,3286.6086140032958,3476.1414591759235,764,8115
norm,0.5,2,1,0.975,1,3.5,3167.012664781652,3243.679079084385,3186.315248562928,3383.609660662012,9912,5706
norm,0.5,2,1,0.975,2,3.5,3145.875985041335,3239.1860724637836,3178.9998360458007,3357.3211648772385,5905,160
norm,0.5,2,1,0.975,3,3.5,3207.4803914196136,3283.720021592477,3222.6824425728096,3348.435883244161,8321,6196
norm,0.5,2,1,0.975,4,3.5,3178.37595028809,3279.0071779376212,3216.5057975482014,3385.335074779851,5423,5023
norm,0.5,2,1,0.975,5,3.5,3238.953692712261,3334.8595000990617,3270.631074661525,3410.9744856548728,1954,5637
norm,0.5,2,1,0.975,6,3.5,3188.0330401290144,3271.2964958627836,3209.3623407310656,3404.935782578125,854,1768
norm,0.5,2,1,0.975,7,3.5,3078.758281303303,3150.1800278111623,3083.9850176973187,3202.5703590991993,8499,6129
norm,0.5,2,1,0.975,8,3.5,3028.27772555029,3121.9022104060114,3056.5074346235033,3205.664884009433,6314,9488
norm,0.5,2,1,0.975,9,3.5,2966.6989657025197,3077.082074581313,3011.3648659651467,3134.1455667890377,706,357
norm,0.5,2,1,0.99,0,3.5,3832.7290799020234,3884.729905527877,3823.068710096195,4058.1255224534,4681,318
norm,0.5,2,1,0.99,1,3.5,3426.1944031706453,3518.9594113777093,3456.235897506407,3649.421620499803,3591,6016
norm,0.5,2,1,0.99,2,3.5,3725.5390968688607,3792.723015449976,3731.1935554151323,4023.951653751484,7576,6211
norm,0.5,2,1,0.99,3,3.5,3501.9902260986855,3590.533270716208,3528.326055204508,3798.1405429457263,3310,7130
norm,0.5,2,1,0.99,4,3.5,3410.488508077239,3509.335106919595,3448.119506317092,3657.592192295701,1321,8596
norm,0.5,2,1,0.99,5,3.5,3493.84045973285,3574.56360588109,3521.227247724556,3758.873121692611,3719,6729
norm,0.5,2,1,0.99,6,3.5,3493.8967166034267,3559.5783950440987,3497.1287162879316,3720.6667430816583,8604,4448
norm,0.5,2,1,0.99,7,3.5,3535.8310610365497,3614.946548219964,3551.6232013909353,3790.79732488315,7093,4133
norm,0.5,2,1,0.99,8,3.5,3740.721770316104,3801.2339398799077,3740.0594497919974,4075.3008294620904,3239,4125
norm,0.5,2,1,0.99,9,3.5,3423.0190566344986,3481.947386837597,3425.971887020516,3632.598570239308,967,6426
norm,0.5,3,1,0.95,0,4.5,3300.7787449796433,2903.514401073699,2920.4840860415743,2989.1955099334377,2761,2454
norm,0.5,3,1,0.95,1,4.5,3355.6344661247285,2953.97317636896,2967.972645788512,3052.532468944574,999,6703
norm,0.5,3,1,0.95,2,4.5,3252.0064804404255,2872.5841280047484,2891.98269419153,2947.7517303161753,1832,8765
norm,0.5,3,1,0.95,3,4.5,3348.692175977946,2997.162208505227,3016.91863653259,3115.525249222047,3397,3471
norm,0.5,3,1,0.95,4,4.5,3178.38343985324,2839.697812768817,2858.084512277005,2930.6562430320682,2224,6452
norm,0.5,3,1,0.95,5,4.5,3252.10352011626,2872.856305097379,2890.791699266989,2978.3374614333743,3433,7606
norm,0.5,3,1,0.95,6,4.5,3330.4130126070595,2945.9764423981765,2966.9884883025334,3052.153368490587,8048,1338
norm,0.5,3,1,0.95,7,4.5,3191.433367166208,2859.693199697569,2875.7001127723333,2976.810164041859,1905,3342
norm,0.5,3,1,0.95,8,4.5,3272.4852320428636,2927.086761680276,2946.6067831591586,3035.6598863572663,3436,4530
norm,0.5,3,1,0.95,9,4.5,3363.7416417271725,3003.731058151015,3021.4697691016654,3116.0043861171575,7998,4153
norm,0.5,3,1,0.975,0,4.5,3691.8736247439847,3258.88407786313,3277.3636605955917,3402.691736500967,7611,177
norm,0.5,3,1,0.975,1,4.5,3462.2569200326234,3123.177349485412,3138.019478578476,3226.952718743719,7272,2920
norm,0.5,3,1,0.975,2,4.5,3741.2776519248714,3338.07148065913,3360.3630936074564,3490.7821716615754,4490,646
norm,0.5,3,1,0.975,3,4.5,3522.6790473142114,3159.9476312081097,3183.183435222637,3286.7651310447686,1492,3472
norm,0.5,3,1,0.975,4,4.5,3606.754952953393,3169.658509993197,3191.4806461008066,3288.2623582574915,102,3226
norm,0.5,3,1,0.975,5,4.5,3578.8830651172525,3255.456126628548,3274.9602047768917,3411.0203500032194,6972,2102
norm,0.5,3,1,0.975,6,4.5,3741.611068884397,3372.4478697986387,3394.504809660747,3512.3774662507662,947,1211
norm,0.5,3,1,0.975,7,4.5,3433.16224154583,3095.865216516089,3112.700350154023,3227.982220303215,5496,2575
norm,0.5,3,1,0.975,8,4.5,3665.404512625407,3261.134360702023,3277.693769483907,3425.0894665194214,9538,6241
norm,0.5,3,1,0.975,9,4.5,3583.309211596285,3199.027094792515,3217.4959594158763,3365.098935885691,1359,2814
norm,0.5,3,1,0.99,0,4.5,3647.6213654636667,3310.45287975116,3331.4271823671443,3475.2723143924345,8449,7784
norm,0.5,3,1,0.99,1,4.5,3885.4053239038794,3519.8464450122424,3539.1159150088943,3697.3709221354893,8750,9682
norm,0.5,3,1,0.99,2,4.5,4067.2384926397153,3706.2557751663894,3725.7786937018504,3920.74714305419,8878,6481
norm,0.5,3,1,0.99,3,4.5,4042.0743165984686,3652.375386114815,3671.232975628604,3833.2182189044574,564,8355
norm,0.5,3,1,0.99,4,4.5,3816.4777752280665,3481.617957888678,3497.7185073246947,3648.071979966049,1899,317
norm,0.5,3,1,0.99,5,4.5,3861.972429648177,3539.6018161519323,3560.287093133448,3726.947358254447,5208,5881
norm,0.5,3,1,0.99,6,4.5,4026.2769368710715,3632.955755595861,3653.1728868967098,3839.9989780468736,7968,9680
norm,0.5,3,1,0.99,7,4.5,4187.516463029206,3791.464636297193,3810.6811452778325,3974.506022794112,3303,236
norm,0.5,3,1,0.99,8,4.5,3985.462562884721,3607.9003187880844,3630.7480259392373,3803.957231920407,4727,8994
norm,0.5,3,1,0.99,9,4.5,4276.837760306243,3827.631246135024,3852.351898068521,4055.208894978309,4287,9799
norm,0.5,3,2,0.95,0,4.5,3602.097725852284,3795.466226469229,3733.3885039935653,3959.772403015267,3476,8170
norm,0.5,3,2,0.95,1,4.5,3157.3937640681024,3432.3513078301535,3370.465792981336,3438.3339903081237,6127,5464
norm,0.5,3,2,0.95,2,4.5,3322.0051450006467,3562.3997048173333,3499.802430795613,3637.5519138250647,1171,6583
norm,0.5,3,2,0.95,3,4.5,3347.3479924605463,3565.644122070795,3505.22916466566,3645.0188050340976,3596,7973
norm,0.5,3,2,0.95,4,4.5,3312.8090092892403,3552.6480419234395,3491.3087882303475,3561.6414295265517,7746,302
norm,0.5,3,2,0.95,5,4.5,3244.614150342809,3500.443962341777,3441.022678691543,3552.82142369191,7694,3369
norm,0.5,3,2,0.95,6,4.5,3184.972854628022,3437.9565109744417,3379.4643033551147,3487.406216128178,1358,816
norm,0.5,3,2,0.95,7,4.5,3346.52630898919,3583.050720623684,3520.3790835037835,3621.0003888629262,8565,6815
norm,0.5,3,2,0.95,8,4.5,3473.4139589145275,3691.9244184868753,3623.2453587529176,3755.575768930643,2274,6421
norm,0.5,3,2,0.95,9,4.5,3261.767286211634,3497.7177906743846,3434.3916837812553,3525.5421575233286,8595,9623
norm,0.5,3,2,0.975,0,4.5,3781.764110649729,4028.36009275615,3967.8528875263814,4144.552408177739,7337,7638
norm,0.5,3,2,0.975,1,4.5,3821.1392545285757,4031.028623778627,3973.606701010919,4185.584851433524,4434,2715
norm,0.5,3,2,0.975,2,4.5,3685.323684043427,3946.649923249184,3885.9170321247625,4094.6131012593205,4379,4108
norm,0.5,3,2,0.975,3,4.5,3604.2067473511725,3831.0851823561397,3770.2378948049686,3941.744872932886,8126,9833
norm,0.5,3,2,0.975,4,4.5,3556.12356040751,3787.8287043001205,3721.781781699842,3897.5305518227724,8915,3776
norm,0.5,3,2,0.975,5,4.5,3696.9864191825322,3909.306628597344,3848.694042642572,4087.5536650758017,1993,6698
norm,0.5,3,2,0.975,6,4.5,3481.130301869469,3734.879039354662,3669.24067763995,3829.583342405566,7602,6035
norm,0.5,3,2,0.975,7,4.5,3860.964359227537,4058.040319537953,3997.2069013537366,4173.594262429329,8127,8064
norm,0.5,3,2,0.975,8,4.5,3641.2113604122687,3893.935124279692,3831.989490702648,4030.073072915668,4772,8319
norm,0.5,3,2,0.975,9,4.5,3616.844976223276,3838.957146547256,3774.844072321102,3953.4994007842524,831,4429
norm,0.5,3,2,0.99,0,4.5,4199.050351203874,4421.45969148504,4374.342800400058,4681.7699651551075,6927,7799
norm,0.5,3,2,0.99,1,4.5,4443.680316375086,4678.327949854516,4629.367995001646,4993.367395314141,5838,205
norm,0.5,3,2,0.99,2,4.5,4372.30603046996,4583.933549085322,4527.957995627228,4875.9515581554615,9875,1837
norm,0.5,3,2,0.99,3,4.5,4305.9426780746,4519.478168988824,4470.5146605984,4794.808168676196,1117,290
norm,0.5,3,2,0.99,4,4.5,4227.32466974903,4488.551943559734,4435.140266412567,4671.7960310921535,2432,5513
norm,0.5,3,2,0.99,5,4.5,4572.526080683686,4793.479005757072,4734.206068419453,5102.533735438144,764,8115
norm,0.5,3,2,0.99,6,4.5,4375.307544775354,4603.615844927702,4554.866428954017,4940.506676447964,9912,5706
norm,0.5,3,2,0.99,7,4.5,4216.033389533729,4468.998221926554,4421.995904215787,4712.048773109337,5905,160
norm,0.5,3,2,0.99,8,4.5,4424.524949828991,4653.865872828599,4597.028361291852,4896.216738633461,8321,6196
norm,0.5,3,2,0.99,9,4.5,4136.730899889887,4388.4341421313675,4339.370468503097,4536.562191777937,5423,5023
norm,0.5,5,1,0.95,0,6.5,4303.777451467601,3084.0955143082874,3162.0424767416043,3220.978486617249,1954,5637
norm,0.5,5,1,0.95,1,6.5,4148.722923973363,3021.266089208767,3103.7620480532296,3168.5692836798926,854,1768
norm,0.5,5,1,0.95,2,6.5,4141.994431990257,3028.8455946450117,3111.7760141293184,3161.11216713147,8499,6129
norm,0.5,5,1,0.95,3,6.5,3962.005626977319,2869.2215231913788,2956.133322244252,3003.3196212381886,6314,9488
norm,0.5,5,1,0.95,4,6.5,4087.21854478844,2901.312107212143,2980.8479134522413,3031.6343374608427,706,357
norm,0.5,5,1,0.95,5,6.5,4316.932473182381,3085.31115854994,3167.6592659419034,3229.045581426452,4681,318
norm,0.5,5,1,0.95,6,6.5,4026.1247524259434,2956.0574903891297,3028.9780653532453,3100.594854177584,3591,6016
norm,0.5,5,1,0.95,7,6.5,4108.843150383291,2974.9842157380253,3058.499765516366,3132.6135887357564,7576,6211
norm,0.5,5,1,0.95,8,6.5,4160.972600527732,2965.580860385508,3051.5021108449714,3150.074069914785,3310,7130
norm,0.5,5,1,0.95,9,6.5,4094.033564981201,2941.466663455978,3028.4332943980385,3077.9042314579674,1321,8596
norm,0.5,5,1,0.975,0,6.5,4428.869957164463,3237.1842549403877,3320.9824600898305,3404.0911017925555,3719,6729
norm,0.5,5,1,0.975,1,6.5,4536.924732118278,3278.0808851926604,3367.8971959090104,3465.277213144208,8604,4448
norm,0.5,5,1,0.975,2,6.5,4663.609336081199,3423.822254717958,3519.601934715284,3627.1879511145726,7093,4133
norm,0.5,5,1,0.975,3,6.5,4641.507010766952,3393.077257937238,3470.332844759521,3605.781606540054,3239,4125
norm,0.5,5,1,0.975,4,6.5,4435.059824720951,3263.238274623634,3358.584205087471,3453.062028320302,967,6426
norm,0.5,5,1,0.975,5,6.5,4369.092009721581,3199.205039232057,3289.6182393702834,3367.035643148635,2761,2454
norm,0.5,5,1,0.975,6,6.5,4604.02926286738,3341.517968171345,3425.008742228322,3515.862982247312,999,6703
norm,0.5,5,1,0.975,7,6.5,4350.695181897275,3239.7428401830375,3334.367518367394,3424.3146497427792,1832,8765
norm,0.5,5,1,0.975,8,6.5,4490.637356530942,3286.311483278402,3378.39733255006,3468.237989740039,3397,3471
norm,0.5,5,1,0.975,9,6.5,4309.628883873756,3169.4625147706615,3258.0726821511325,3337.1934086563315,2224,6452
norm,0.5,5,1,0.99,0,6.5,5039.244321457454,3817.2771269222712,3909.2245166385046,4038.463871720033,3433,7606
norm,0.5,5,1,0.99,1,6.5,4959.661306595517,3765.2793461851,3862.473666515828,4007.6084043967676,8048,1338
norm,0.5,5,1,0.99,2,6.5,4660.443968175927,3570.5798410234397,3660.1742061282453,3811.882733546774,1905,3342
norm,0.5,5,1,0.99,3,6.5,4998.548899636697,3728.728282890066,3816.0642173981596,3964.982503215453,3436,4530
norm,0.5,5,1,0.99,4,6.5,5275.703617836796,4045.744213977561,4131.0691929455,4300.604531833792,7998,4153
norm,0.5,5,1,0.99,5,6.5,4793.857343816908,3680.177426522655,3766.4981509304084,3906.8638821734608,7611,177
norm,0.5,5,1,0.99,6,6.5,4636.880052959269,3424.5864314800892,3506.4321439151217,3616.4252127803634,7272,2920
norm,0.5,5,1,0.99,7,6.5,4949.407250662512,3738.2192065280583,3832.165969962095,3966.0056755823052,4490,646
norm,0.5,5,1,0.99,8,6.5,4811.45553739792,3651.48362846712,3742.1401417772336,3868.130105600697,1492,3472
norm,0.5,5,1,0.99,9,6.5,4878.300179220178,3612.7100594541625,3700.3254595251938,3817.611498653764,102,3226
norm,0.5,5,2,0.95,0,6.5,4111.689634093182,3618.368274971508,3670.484975595502,3789.0692649410785,6972,2102
norm,0.5,5,2,0.95,1,6.5,4213.178273666831,3615.586075337932,3666.8493579350893,3721.090503777883,947,1211
norm,0.5,5,2,0.95,2,6.5,4114.626671709563,3561.4963224268918,3615.1557327861715,3696.7414293435786,5496,2575
norm,0.5,5,2,0.95,3,6.5,4297.4378821813125,3683.293760048479,3737.986123845678,3825.1332001691144,9538,6241
norm,0.5,5,2,0.95,4,6.5,4201.862910355049,3588.2869685911332,3643.792658682957,3734.2958455205244,1359,2814
norm,0.5,5,2,0.95,5,6.5,3967.2908474969704,3467.695641089905,3515.1366316580857,3586.504900879654,8449,7784
norm,0.5,5,2,0.95,6,6.5,4192.337527550955,3585.9797076484488,3641.344549034228,3724.7660192339526,8750,9682
norm,0.5,5,2,0.95,7,6.5,4148.1679697695945,3589.9207530247386,3643.1193199518166,3717.615461651315,8878,6481
norm,0.5,5,2,0.95,8,6.5,4160.083495888271,3585.3106767273416,3639.6767646270114,3713.7004801442895,564,8355
norm,0.5,5,2,0.95,9,6.5,4218.651865209516,3652.73369128914,3708.2170735315867,3785.4674728418495,1899,317
norm,0.5,5,2,0.975,0,6.5,4373.184339434133,3830.8480740045356,3887.067443811842,4003.3462019271337,5208,5881
norm,0.5,5,2,0.975,1,6.5,4648.444780146896,3967.2564470427046,4025.1160431247495,4159.105171379156,7968,9680
norm,0.5,5,2,0.975,2,6.5,4919.2909374569,4196.2131102013045,4256.149411168488,4381.611397805206,3303,236
norm,0.5,5,2,0.975,3,6.5,4442.527001750423,3894.984658736151,3951.3803948892296,4079.658300535439,4727,8994
norm,0.5,5,2,0.975,4,6.5,4962.163390824173,4217.431472089617,4281.028976956642,4432.197742626995,4287,9799
norm,0.5,5,2,0.975,5,6.5,4924.640623515161,4168.11801787348,4232.174809445601,4386.9349731785915,3476,8170
norm,0.5,5,2,0.975,6,6.5,4395.480817633765,3803.5376410132485,3855.786958545016,3967.3891936279338,6127,5464
norm,0.5,5,2,0.975,7,6.5,4684.358347002002,4012.2353893954128,4067.3207492739893,4189.143951817429,1171,6583
norm,0.5,5,2,0.975,8,6.5,4646.419555261533,4007.8690417030716,4061.7811856696567,4204.985798631268,3596,7973
norm,0.5,5,2,0.975,9,6.5,4683.285326275392,4024.747006358455,4086.9631802611725,4198.826351415383,7746,302
norm,0.5,5,2,0.99,0,6.5,4837.789556020128,4178.562453847305,4236.039787315262,4388.376925587071,7694,3369
norm,0.5,5,2,0.99,1,6.5,4777.655634240667,4176.957444712746,4233.133179678279,4381.401026951282,1358,816
norm,0.5,5,2,0.99,2,6.5,5503.024425061118,4787.624195873909,4845.989127950817,5029.840717499895,8565,6815
norm,0.5,5,2,0.99,3,6.5,5528.713427414481,4792.454829604172,4852.141990970443,5030.574151464123,2274,6421
norm,0.5,5,2,0.99,4,6.5,4866.907979729507,4269.784416544788,4326.719128848218,4468.15606605444,8595,9623
norm,0.5,5,2,0.99,5,6.5,5053.0898643808505,4407.25980442513,4459.784740650666,4620.09970708045,7337,7638
norm,0.5,5,2,0.99,6,6.5,5304.974483931315,4517.251756474909,4575.334260105138,4753.592846691888,4434,2715
norm,0.5,5,2,0.99,7,6.5,5371.375153809732,4662.864624510381,4724.444186612957,4916.757396840442,4379,4108
norm,0.5,5,2,0.99,8,6.5,4655.021647658554,4077.015780842993,4134.45647446432,4267.151069500782,8126,9833
norm,0.5,5,2,0.99,9,6.5,4898.709434536936,4282.4276803061575,4340.0882420635935,4490.274170129552,8915,3776
norm,0.5,5,3,0.95,0,6.5,4206.705451446242,4148.630382386205,4166.76799597084,4300.010073886678,1993,6698
norm,0.5,5,3,0.95,1,6.5,4115.795721530111,4123.920322085613,4138.057968433349,4228.983911359448,7602,6035
norm,0.5,5,3,0.95,2,6.5,4424.824909397525,4298.653884763097,4315.039746899186,4403.613231742006,8127,8064
norm,0.5,5,3,0.95,3,6.5,4102.739594303798,4107.79337262049,4120.957499455741,4206.785822976999,4772,8319
norm,0.5,5,3,0.95,4,6.5,4238.9805491590905,4151.19752290908,4167.8488325463495,4266.412900582431,831,4429
norm,0.5,5,3,0.95,5,6.5,4170.37676352802,4164.1665686954675,4181.879604970073,4281.836256754698,6927,7799
norm,0.5,5,3,0.95,6,6.5,4187.3375546876905,4105.451270413922,4121.184956960449,4194.107616732486,5838,205
norm,0.5,5,3,0.95,7,6.5,4197.301163575519,4119.241626395591,4135.405711832635,4230.215117429258,9875,1837
norm,0.5,5,3,0.95,8,6.5,4313.3196583518675,4217.906994766861,4234.785044073899,4316.0490320290955,1117,290
norm,0.5,5,3,0.95,9,6.5,4115.106369882264,4160.33527353153,4173.089718796226,4258.397320767118,2432,5513
