distribution,c_e,l_r,l_e,service_level,seed_id,b,single_cost,DDI_cost,TBS_cost,DI_cost,random_seed1,random_seed2
norm,0.5,2,1,0.95,0,3.5,2656.5884042216353,2654.1859352417255,3658.263001099242,2655.0196883013155,8123,1781
norm,0.5,2,1,0.95,1,3.5,2569.263120162772,2558.9453583814316,3522.645397135675,2565.91042587291,4279,8607
norm,0.5,2,1,0.95,2,3.5,2587.3800650259204,2582.546358783477,3556.7331762152157,2585.7240103984054,2835,7006
norm,0.5,2,1,0.95,3,3.5,2615.2321683604914,2608.605638661465,3590.6551840876286,2613.5308825578495,3445,3318
norm,0.5,2,1,0.95,4,3.5,2766.209293257556,2766.2806060533944,3780.1859491200717,2765.132296699867,262,7932
norm,0.5,2,1,0.95,5,3.5,2590.0252009222972,2588.65128132734,3553.70430071997,2587.7089970172055,3162,6800
norm,0.5,2,1,0.95,6,3.5,2620.3947200218663,2615.9589701215937,3607.963525406031,2618.406969853476,3809,3087
norm,0.5,2,1,0.95,7,3.5,2550.241524199143,2539.263377173729,3512.2754492111335,2548.080187234807,1294,9735
norm,0.5,2,1,0.95,8,3.5,2830.077590762907,2831.2677724669975,3865.788773515172,2829.1565261471537,6059,1309
norm,0.5,2,1,0.95,9,3.5,2708.665364305375,2707.4107150674067,3712.7411704560195,2706.988951191225,2073,2053
norm,0.5,2,1,0.975,0,3.5,2959.6234502483876,2963.213361647904,4020.121530591033,2959.358505639293,2478,8318
norm,0.5,2,1,0.975,1,3.5,3083.859942902348,3088.8531308133443,4161.398155443714,3083.672028253262,7583,5105
norm,0.5,2,1,0.975,2,3.5,2953.4497172048027,2957.218718433986,4002.4323985154183,2953.320689969808,2098,5458
norm,0.5,2,1,0.975,3,3.5,3096.353905029905,3100.109852158834,4176.723248055228,3095.827462103988,1943,1140
norm,0.5,2,1,0.975,4,3.5,3071.2262938458657,3076.403079339398,4142.8028633648,3070.9267097772627,3547,104
norm,0.5,2,1,0.975,5,3.5,2909.1107661756314,2912.33487547244,3951.060772999499,2908.4459813517083,7594,5672
norm,0.5,2,1,0.975,6,3.5,2990.186639167697,2994.409778311788,4048.5937764177193,2989.7010395207913,7481,7460
norm,0.5,2,1,0.975,7,3.5,3126.1858272480004,3129.7758631255892,4215.401044761773,3126.0228716941983,1975,2160
norm,0.5,2,1,0.975,8,3.5,3066.2795823220185,3070.4967366224,4138.066363256952,3065.9690996414442,3790,3073
norm,0.5,2,1,0.975,9,3.5,3056.913336721866,3061.1765877367193,4126.80733914198,3056.7203779681,8105,5220
norm,0.5,2,1,0.99,0,3.5,3600.7104734301556,3602.5549382668232,4709.856545956761,3600.6954127823906,7036,4473
norm,0.5,2,1,0.99,1,3.5,3643.9144403494943,3645.7818073325666,4767.78736007647,3643.950590056858,8434,1584
norm,0.5,2,1,0.99,2,3.5,3512.8530865463817,3516.1214539067905,4625.506316912727,3512.8797995045466,3302,5232
norm,0.5,2,1,0.99,3,3.5,3465.6555579594356,3468.232037663421,4583.952304142643,3465.636517198952,4426,5293
norm,0.5,2,1,0.99,4,3.5,3429.224681254673,3431.861697481084,4539.342069051083,3429.2129036138103,2412,85
norm,0.5,2,1,0.99,5,3.5,3594.24332598015,3596.190575568902,4712.710594587737,3594.208807605642,4838,402
norm,0.5,2,1,0.99,6,3.5,3556.2618981898313,3558.7415876738596,4662.871689057683,3556.197604990765,1416,2886
norm,0.5,2,1,0.99,7,3.5,3597.9752007770044,3599.9283985996944,4704.43012950894,3597.9405601672725,2296,9037
norm,0.5,2,1,0.99,8,3.5,3413.767150749584,3416.256253453734,4520.489812620523,3413.651679793207,8215,6419
norm,0.5,2,1,0.99,9,3.5,3533.9587432661665,3536.3776649036436,4649.010558749547,3533.9635667062803,6809,6740
norm,0.5,3,1,0.95,0,4.5,3221.9612902835747,3189.804753575665,4194.8828084212055,3215.5271728022985,2236,6285
norm,0.5,3,1,0.95,1,4.5,3141.05514935625,3101.7780303087056,4089.9999230705253,3132.5227488420223,6124,1492
norm,0.5,3,1,0.95,2,4.5,3225.1105199393483,3195.651317523918,4205.696959696268,3221.3440220396838,8759,2092
norm,0.5,3,1,0.95,3,4.5,3232.502000794433,3202.7718648961404,4205.790866558327,3224.8000976184812,3738,9477
norm,0.5,3,1,0.95,4,4.5,3217.0706388449753,3176.0025127040985,4180.276067909172,3214.045203977485,6130,4773
norm,0.5,3,1,0.95,5,4.5,3152.8290494977086,3113.622403107886,4102.306309417421,3142.4872376615217,47,9805
norm,0.5,3,1,0.95,6,4.5,3074.7045493562255,3030.0724058758233,4010.6695622283087,3068.0101581167355,9564,2380
norm,0.5,3,1,0.95,7,4.5,3029.633374253451,2978.40322317533,3935.1213805112943,3011.9282701448815,8634,3779
norm,0.5,3,1,0.95,8,4.5,3105.6840436570014,3074.848571092517,4049.02655009369,3096.5975017848873,6114,5094
norm,0.5,3,1,0.95,9,4.5,3109.924472613528,3073.3024975753333,4061.830153330628,3102.9161856907726,4210,1605
norm,0.5,3,1,0.975,0,4.5,3612.8949769545493,3603.385431655242,4651.663751046544,3611.706536920773,4310,8696
norm,0.5,3,1,0.975,1,4.5,3703.580161691225,3701.297167296844,4756.453734157383,3703.5190486582296,8048,1519
norm,0.5,3,1,0.975,2,4.5,3780.6343622344134,3779.407228129753,4845.109590680341,3780.2274249717802,5131,9189
