distribution,c_e,l_r,l_e,service_level,seed_id,b,SDI_cost,TBS_cost,DI_cost,benchmark_DI_cost,random_seed1,random_seed2
geom,0.5,2,1,0.95,0,3.5,677.488,642.0163030303031,642.0831200000001,676.21235,6208,5627
geom,0.5,2,1,0.95,1,3.5,603.7356749999966,574.3298136363604,574.3076499999969,598.6985299999965,5924,1275
geom,0.5,2,1,0.95,2,3.5,604.6614499999965,574.844380681815,574.8869559999968,599.7638114999965,1325,2123
geom,0.5,2,1,0.95,3,3.5,570.2905,572.2079545454546,572.2121999999999,596.2478199999999,3300,2489
geom,0.5,2,1,0.95,4,3.5,675.6875,641.3921666666668,641.42874,675.46365,8243,6519
geom,0.5,2,1,0.95,5,3.5,600.6815,571.9899090909091,572.0190600000001,600.4223499999999,8293,7570
geom,0.5,2,1,0.95,6,3.5,642.024,641.2004696969698,641.2851200000001,672.01741,1866,4169
geom,0.5,2,1,0.95,7,3.5,600.351,571.3700757575758,571.3966000000001,599.3483,5345,7399
geom,0.5,2,1,0.95,8,3.5,573.5370249999968,575.6614522727241,575.659304999997,604.9516049999964,4788,463
geom,0.5,2,1,0.95,9,3.5,598.0875,569.018196969697,569.07352,598.1634799999999,3380,1814
geom,0.5,2,1,0.975,0,3.5,642.4965,642.399982070707,642.2214728749999,673.2143799999999,3754,9440
geom,0.5,2,1,0.975,1,3.5,721.9015,720.1767878787879,720.3668400000001,755.8035600000001,8080,1603
geom,0.5,2,1,0.975,2,3.5,642.794,642.5892878787879,642.6481600000002,677.15763,1914,191
geom,0.5,2,1,0.975,3,3.5,723.2165,721.3178787878788,721.5197800000001,759.72092,144,6261
geom,0.5,2,1,0.975,4,3.5,803.0416874999997,800.1444147727273,799.9525074999998,838.9704975000001,8478,8922
geom,0.5,2,1,0.975,5,3.5,803.899,801.5051212121211,801.74478,840.1461999999999,2500,3231
geom,0.5,2,1,0.975,6,3.5,721.837,719.9122878787879,720.1173,755.3826599999999,5113,1907
geom,0.5,2,1,0.975,7,3.5,721.54,719.8114444444446,719.493474375,755.2219099999999,5381,7920
geom,0.5,2,1,0.975,8,3.5,721.891,720.5041363636363,720.25835,758.829,4731,3945
geom,0.5,2,1,0.975,9,3.5,724.9248624999981,723.1980357323213,723.3734324999982,758.4297074999981,5612,3146
geom,0.5,2,1,0.99,0,3.5,978.1202499999993,974.4072933333325,974.7864199999992,1016.0174449999993,462,9069
geom,0.5,2,1,0.99,1,3.5,890.4835,887.4156811111112,887.7400745000001,928.58553635,6611,282
geom,0.5,2,1,0.99,2,3.5,889.438,886.2314154545455,886.0248458,927.55370955,8227,4207
geom,0.5,2,1,0.99,3,3.5,976.658,972.9613118181819,972.7343378999999,1014.8764928999999,2678,7640
geom,0.5,2,1,0.99,4,3.5,805.832,802.779606060606,802.5710999999999,841.57741,3475,3074
geom,0.5,2,1,0.99,5,3.5,975.55,972.1319252777778,972.4718255,1013.5900688,8777,2788
geom,0.5,2,1,0.99,6,3.5,805.0925749999992,802.0142349999994,802.4896349999993,841.2460949999993,4999,2563
geom,0.5,2,1,0.99,7,3.5,806.859,803.8877565151515,804.1177416,843.6814466999999,9753,8548
geom,0.5,2,1,0.99,8,3.5,892.244,888.1165,888.6857400000001,929.95596,5086,4849
