distribution,c_e,l_r,l_e,service_level,b,seed_id,single_cost,DDI_cost,TBS_cost,benchmark_TBS_result,benchmark_DI_result,DI_result,random_seed1,random_seed2
binom,1,3,1,0.95,5,4.5,1590.7344400000002,1576.1348564740006,1580.3637923022325,1583.8826157412427,1581.6611683750002,1580.3798773000003,5532.0,4530.5
binom,1,3,1,0.975,5,4.5,1734.4093099999996,1726.1009452819987,1731.4776762380195,1734.4744986345854,1731.7817449999995,1731.5419424999993,5138.4,3583.3
binom,1,3,1,0.99,5,4.5,1975.0608600000019,1971.3285050460006,1973.5166215657646,1974.9831998643956,1973.7873418150018,1973.531795250002,5555.2,5517.1
binom,1,5,2,0.95,7,4.5,1914.4427200000002,1892.051983721,1889.2137184215178,1899.455703530904,1892.2738689062498,1889.0215484999997,2923.5,4755.5
binom,1,5,2,0.975,7,4.5,2129.8503599999985,2121.325435614997,2124.789459151953,2131.5584077320896,2126.8190577999985,2123.8894009999985,5273.6,6019.0
binom,1,5,2,0.99,7,4.5,2388.9693680000014,2385.470341447002,2385.9596454159205,2390.3349002723294,2388.5641347100013,2386.0378520900013,4236.0,6021.0
binom,1,10,3,0.95,12,4.5,2764.7624750000004,2673.1013198319997,2630.3529094581913,2648.1358924651886,2640.0709365384614,2628.307336899999,5189.1,5098.4
binom,1,10,3,0.975,12,4.5,2906.5349549999983,2859.1149529839977,2837.735292554498,2861.363948117686,2854.159274615383,2838.7979169249984,5950.4,5525.6
binom,1,10,3,0.99,12,4.5,3083.346941,3050.5319045919996,3043.454204378429,3060.287849317575,3055.4052837507697,3043.29964074,4460.6,5729.9
binom,2,3,1,0.95,6,4.5,1550.311945,1545.9928683340001,1543.3808155516883,1555.96423418886,1543.0668454785714,1542.72766705,5728.5,5798.4
binom,2,3,1,0.975,6,4.5,1692.7057649999988,1691.7711800319971,1690.4726652050263,1696.5514155876033,1690.5620564464273,1690.3314505499989,4550.1,6271.2
binom,2,3,1,0.99,6,4.5,2041.1453420000012,2044.322265172002,2041.0291737359262,2044.7046555089335,2041.1245613271444,2040.9908466100012,5139.7,4340.5
binom,2,5,2,0.95,8,4.5,1972.32959,1963.7402318640004,1954.9363934379599,1971.9464562798992,1957.0939268000006,1954.9492471,6359.0,5188.5
