distribution,c_e,l_r,l_e,service_level,seed_id,b,single_cost,DDI_cost,TBS_cost,benchmark_TBS_result,benchmark_DI_result,DI_result,random_seed1,random_seed2
norm,1,3,1,0.95,0,5,3080.960065489732,3043.834433984886,3069.029497871901,3077.401907304069,3069.8091519312316,3069.176787991765,6632,9107
norm,1,3,1,0.95,1,5,3221.536332996322,3204.524912704939,3215.1500268420727,3221.4310294271518,3216.9665732442836,3215.2256741954125,8905,6110
norm,1,3,1,0.95,2,5,3019.315050412118,2988.5862989454395,3005.7722322363156,3007.9415063496585,3005.457221765575,3006.2937383420035,7802,8045
norm,1,3,1,0.95,3,5,2805.7072210031142,2752.906134593799,2766.6989944200495,2770.5234285494444,2766.6934679669516,2767.2614360765174,2638,1092
norm,1,3,1,0.95,6,5,2845.516562791007,2793.8840395226225,2806.9211277828767,2827.006071673739,2810.86654598993,2807.220176370227,9504,9492
norm,1,3,1,0.95,4,5,2969.6981041475015,2931.0573917887828,2951.95012450472,2961.5089570220716,2952.3580610509207,2952.257180269348,1986,5894
norm,1,3,1,0.95,7,5,3051.194281423596,3014.1455162716015,3041.3397239213377,3084.67016542399,3043.4974243696824,3039.754250525837,2137,7874
norm,1,3,1,0.95,5,5,2798.179904243792,2741.0980377220853,2743.078675066759,2747.9265514943827,2743.4118823241406,2745.1363911862863,7762,1193
norm,1,3,1,0.95,9,5,2735.847947537225,2685.912725707718,2671.170445146273,2677.9013326979157,2675.8208739255424,2672.1114557138217,4059,2507
norm,1,3,1,0.95,8,5,3015.4843678797943,2969.351618940116,3000.529246397159,3011.2510395907348,3000.347593640565,3001.0481705507077,7527,4904
norm,1,3,1,0.975,0,5,3934.0851408171616,3932.787476884146,3933.5522377295465,3935.356865984628,3934.626994946571,3933.5148644284254,9449,4332
norm,1,3,1,0.975,1,5,3215.897991938624,3190.0801542613453,3206.6577477213846,3212.4135165721755,3207.683255587493,3206.853543685472,9040,9711
