distribution,c_e,l_r,l_e,service_level,b,seed_id,single_cost,TBS_cost,benchmark_TBS_result,benchmark_DI_result,DI_result,random_seed1,random_seed2
binom,1,2,1,0.95,4,4.5,1112.2077999999997,1524.8098938701512,1541.7811059953938,1636.9050169799996,1480.663335,3741.9,4046.3
binom,1,2,1,0.975,4,4.5,1153.7068249999995,1569.7993194970297,1590.7833299358983,1703.979375049999,1560.6834924999991,4279.4,5481.0
binom,1,2,1,0.99,4,4.5,1411.8417550000008,1838.3208216135768,1853.2260847418797,2198.595561142002,1886.6546380000011,4454.9,4970.5
binom,1,3,1,0.95,5,4.5,1132.3380196649998,1535.1245832580607,1549.8537591211311,1552.812817942,1715.532176902,5705.6,4508.4
binom,1,3,1,0.975,5,4.5,1255.4289903189995,1673.4297069538175,1690.9841094667772,1726.0161421244993,1885.5974418529993,4535.3,5936.7
binom,1,3,1,0.99,5,4.5,1275.9833213220008,1694.679695114728,1708.5509158786172,1757.2657489040012,1903.9575070180013,4689.8,6188.1
binom,1,5,2,0.95,7,4.5,1436.0252884020001,1829.110319390727,1838.912403308849,1858.027449249,2114.603505532,4727.0,4268.2
binom,1,5,2,0.975,7,4.5,1531.396408751999,1932.2340975364532,1945.0578063354435,1976.8317346089984,2289.288067335998,5247.8,4115.1
binom,1,5,2,0.99,7,4.5,1756.5075792750013,2170.032614746062,2190.021523317032,2248.5036721100014,2599.0679605800024,5869.2,5433.1
binom,1,8,3,0.95,10,4.5,1690.620034674,2056.087905587162,2069.4995648252125,2110.411755505,2531.3274041120003,5400.8,4293.8
binom,1,8,3,0.975,10,4.5,1808.3144975579992,2190.388881723514,2202.415114938131,2252.1703006969988,2702.7792512039982,5999.0,5637.7
binom,1,8,3,0.99,10,4.5,2071.566225495002,2475.949300005487,2517.308816991294,2560.5079977230025,3019.983679531002,4802.6,4847.5
binom,1,10,3,0.95,12,4.5,1717.835584979,2065.8573989341817,2076.1187740044243,2137.4220922816926,2680.698670205001,4606.0,5255.6
binom,1,10,3,0.975,12,4.5,1831.7555882109996,2206.498556760545,2223.8360749663325,2294.4339228639224,2926.4340020779973,8324.8,3954.1
binom,1,10,3,0.99,12,4.5,2061.4616328150014,2459.1353432072133,2484.5839182060618,2548.967652272463,3251.4561491890017,4740.6,5997.6
binom,2,2,1,0.95,5,4.5,1154.4958,1804.303704475879,1803.9280705966871,2005.7003119999997,1622.1896199999996,3902.0,4914.2
binom,2,2,1,0.975,5,4.5,1283.9060649999992,1942.580047047888,1944.2130328581304,2343.9956753749984,1803.4315674999991,4311.8,4658.6
binom,2,2,1,0.99,5,4.5,1577.9485140000015,2247.6186973267295,2252.117983736568,3125.3228745100046,2132.100617000001,4653.3,5896.3
binom,2,3,1,0.95,6,4.5,1131.923121673,1767.7149743533937,1766.452690071465,1745.1827189204287,1756.311962735,4741.6,4662.9
binom,2,3,1,0.975,6,4.5,1261.8524225469996,1914.336491462525,1915.696428697404,1961.5795882567134,1935.9684355279992,4588.6,6488.3
binom,2,3,1,0.99,6,4.5,1459.9040225820008,2122.566540535516,2131.8881385156674,2322.4558485934303,2189.5334876680013,4125.0,6225.1
binom,2,5,2,0.95,8,4.5,1420.148522274,2023.3781506182124,2023.474211358071,2018.7860238660003,2116.9253011490005,4599.6,4839.0
binom,2,5,2,0.975,8,4.5,1567.964297778999,2196.2726857420193,2212.8766090018476,2249.3250371659988,2400.912506702999,3910.1,4414.7
binom,2,5,2,0.99,8,4.5,1752.217302249001,2399.7999138985265,2408.624092460658,2525.844791018001,2642.138858176001,2900.6,2920.5
