distribution,c_e,l_r,l_e,service_level,seed_id,b,single_cost,TBS_cost,benchmark_TBS_result,benchmark_DI_result,DI_result,random_seed1,random_seed2
norm,1,3,1,0.95,3,5,2702.7658681703215,2953.100961830804,2973.6914466379267,2966.150419602128,3238.8472940681986,9574,6138
norm,1,3,1,0.95,0,5,2836.5466620324933,3304.9896382125357,3337.3722464723783,3428.3641846778323,3545.599401524333,5541,2557
norm,1,3,1,0.95,2,5,2691.7628629476208,2921.341852812169,2949.475870657641,2926.6761561439275,3182.7841450718765,6679,7520
norm,1,3,1,0.95,1,5,2702.9229732417884,3017.8745530500673,3040.747580219813,3043.114448826112,3162.200827686429,750,4686
norm,1,3,1,0.95,4,5,2799.446207310087,3247.8827669971233,3276.776705229982,3319.4832237674723,3459.177476614113,8,2084
norm,1,3,1,0.95,5,5,2696.064616976456,2974.8858812355566,2999.2878519237397,2983.4031740659702,3493.8279046128923,1825,7314
norm,1,3,1,0.95,7,5,2791.739281109648,3235.6098817257966,3262.4290414802504,3353.603185357351,3352.8475698731877,4403,4170
norm,1,3,1,0.95,6,5,2689.2715266497003,2793.7364341676393,2808.022510642343,2773.6562363207663,2827.53011279888,3065,60
norm,1,3,1,0.95,8,5,2752.8441593835714,3126.7859648927415,3154.0198326336676,3139.533957063007,3206.6075322884963,1601,5151
norm,1,3,1,0.95,9,5,2696.7321001349783,2866.8601143942196,2890.334496068299,2849.3321395779058,3283.2811413482473,3328,5568
norm,1,3,1,0.975,0,5,2879.4921514302305,3406.2981956605427,3433.6543318047975,3411.245090578359,3855.6938589569236,1793,3384
norm,1,3,1,0.975,1,5,2845.685051866606,3335.697258300645,3366.6682927684437,3382.4470048800567,3555.9254752216398,6245,5285
norm,1,3,1,0.975,2,5,2838.2760881052186,3321.6602036549207,3348.2033689391287,3422.3852170999803,3577.6322489650997,8479,7484
norm,1,3,1,0.975,3,5,2759.024612758495,3178.9749531513253,3203.4090950072336,3257.8736102762714,4096.149684362953,4628,79
norm,1,3,1,0.975,4,5,2986.307620321666,3579.4066625267546,3615.7300535495997,3652.2380618475313,4339.442624645451,8582,4491
norm,1,3,1,0.975,5,5,2824.706669701035,3276.236851242005,3307.771482426596,3368.2213117755955,3757.163828498916,8077,288
norm,1,3,1,0.975,6,5,2699.8318576609627,2997.1049169935995,3021.618478700851,3018.419302293186,3523.2854835125345,1592,9764
norm,1,3,1,0.975,7,5,2755.5908641946166,3141.7527587273307,3168.1584156985496,3223.146323606076,3325.432500188329,390,2642
norm,1,3,1,0.975,9,5,2725.7555702695367,3085.4854615019794,3109.5816616185466,3129.7826941599164,3982.1394066674343,7506,276
norm,1,3,1,0.975,8,5,2870.483112525924,3364.339535685295,3364.339535685295,3413.1442231316537,3615.9860011661685,4066,7334
norm,1,3,1,0.99,0,5,2853.62739213679,3363.268018268781,3391.321400983811,3416.2575698025607,4279.55728311568,5230,4477
